id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
55,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JULI,52.0,MILIMETER,2016
56,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,AGUSTUS,63.0,MILIMETER,2016
57,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,SEPTEMBER,101.0,MILIMETER,2016
58,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,OKTOBER,91.0,MILIMETER,2016
59,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,NOVEMBER,46.0,MILIMETER,2016
60,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,DESEMBER,39.0,MILIMETER,2016
61,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JANUARI,109.0,MILIMETER,2016
62,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,FEBRUARI,53.0,MILIMETER,2016
63,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MARET,88.0,MILIMETER,2016
64,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,APRIL,41.0,MILIMETER,2016
65,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MEI,91.0,MILIMETER,2016
66,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JUNI,84.0,MILIMETER,2016
67,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JULI,53.0,MILIMETER,2016
68,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,AGUSTUS,45.0,MILIMETER,2016
69,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,SEPTEMBER,51.0,MILIMETER,2016
70,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,OKTOBER,34.0,MILIMETER,2016
71,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,NOVEMBER,54.0,MILIMETER,2016
72,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,DESEMBER,58.0,MILIMETER,2016
73,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JANUARI,95.0,MILIMETER,2016
74,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,FEBRUARI,61.0,MILIMETER,2016
75,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MARET,55.0,MILIMETER,2016
76,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,APRIL,98.0,MILIMETER,2016
77,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MEI,49.0,MILIMETER,2016
78,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JUNI,11.0,MILIMETER,2016
79,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JULI,75.0,MILIMETER,2016
80,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,AGUSTUS,22.0,MILIMETER,2016
81,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,SEPTEMBER,39.0,MILIMETER,2016
82,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,OKTOBER,59.0,MILIMETER,2016
83,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,NOVEMBER,51.0,MILIMETER,2016
84,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,DESEMBER,30.0,MILIMETER,2016
85,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JANUARI,65.0,MILIMETER,2016
86,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,FEBRUARI,28.0,MILIMETER,2016
87,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MARET,59.0,MILIMETER,2016
